study_time,score
42.47,70.74
77.04,113.36
63.92,98.65
55.92,75.77
29.36,51.85
29.36,55.31
23.49,54.4
71.97,105.45
56.07,83.04
62.48,93.22
21.24,48.1
78.19,118.63
69.95,102.75
32.74,60.64
30.91,55.76
31.0,61.12
38.25,60.52
51.49,79.97
45.92,72.34
37.47,54.93
56.71,90.5
28.37,53.45
37.53,63.82
41.98,68.17
47.36,68.08
67.11,99.72
31.98,54.52
50.85,76.3
55.54,86.24
22.79,47.05
56.45,99.71
30.23,55.35
23.9,47.62
76.93,114.57
77.94,104.81
68.5,103.9
38.28,65.12
25.86,63.4
61.05,93.22
46.41,77.14
27.32,50.31
49.71,72.61
22.06,50.54
74.56,116.44
35.53,65.93
59.75,87.22
38.7,73.73
51.2,73.15
52.8,87.16
31.09,68.56
78.18,110.68
66.51,98.06
76.37,114.88
73.69,107.78
55.87,78.33
75.31,113.32
25.31,41.53
31.76,59.13
22.71,39.01
39.52,75.68
43.32,66.62
36.28,60.23
69.72,110.52
41.41,61.44
36.86,64.28
52.56,91.17
28.46,42.35
68.13,104.68
24.47,48.37
79.21,122.67
66.33,93.81
31.92,48.58
20.33,44.56
68.93,106.39
62.41,97.64
63.74,99.94
66.28,97.08
24.44,48.17
41.51,70.72
26.95,45.75
71.79,119.52
57.4,92.46
39.85,59.66
23.81,49.9
38.66,59.41
39.51,71.09
63.78,104.86
58.25,85.81
73.23,115.98
48.33,80.31
27.18,55.26
62.79,108.01
65.65,98.87
53.68,80.26
66.26,95.8
49.63,74.62
51.36,81.31
45.65,76.4
21.53,44.64
26.47,54.38
